EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis;Bild
Titel;BATTERIESPEICHER Huawei;;;
Untertitel;Montage und Lieferung Huawei Speicher;;;
Beschreibung_fett;Materialien:;;;
;- Speicher Huawei LUNA2000;;;
;- notwendiges Kleinmaterial und Leitungen;;;
Beschreibung_fett;Leistungen:;;;
;- Montage und Anschluss Speicher;;;
;- Inbetriebnahme;;;
;- Restmaterial-/Verpackungsmüllentsorgung;;;
;;;;
H66TG320001;Batteriespeicher Huawei 5,0 kWh;€/Stk.;5108,2;38
100BKG121;Batteriespeicher Huawei 7,0 kWh;€/Stk.;6716,7;
100BKG930;Batteriespeicher Huawei 10,0 kWh;€/Stk.;8207,6;
100BKG122;Batteriespeicher Huawei 14,0 kWh;€/Stk.;11115,7;
100BKG931;Batteriespeicher Huawei 15,0 kWh;€/Stk.;11307;
100BKG123;Batteriespeicher Huawei 21,0 kWh;€/Stk.;15514,8;
;;;;
Untertitel;Erweiterung Huawei Speicher;;;
Beschreibung_fett;Materialien:;;;
;- Speicher Huawei LUNA2000;;;
Beschreibung_fett;Leistungen:;;;
;- Montage zusätzlicher Huawei LUNA2000 Speicher;;;
;;;;
H66TG320501;Erweiterung Huawei Speicher 5,0 kWh;€/Stk.;2998,3;39
;;;;
Untertitel;Montage und Lieferung Huawei Backup-Box B1;;;
Beschreibung_fett;Materialien:;;;
;- Backup-Box B1 Huawei 3PH;;;
Beschreibung_fett;Leistungen:;;;
;- Montage und Anschluss Netzumschaltbox;;;
;- Verdrahtung Zählerschrank;;;
;- Einrichtung Notstromfunktion Wechselrichter;;;
;- Funktionsprüfung;;;
;;;;
H66TG321001;Backup-Box Huwaei 3000 VA;€/Stk.;1556,7;40
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
